0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Trabzon,0,1,0,0,1,1,0,2,2,0,5,5,5,5,5,5,5,5,5,2,0,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,4,4,4,1,1,0,25,25,25,25,25,25,25,25,25,25,12,12,12,5,5,5,5,5,5,5,2,2,0,16,16,16,16,7,7,7,7,7,7,7,7
Tunceli,0,0,1,1,0,2,2,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16,7,7,3,3,3,1,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Uşak,0,0,2,2,2,0,6,6,6,6,6,6,2,2,2,0,9,9,4,4,4,4,1,1,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,12,12,12,12,12,12,12,12,12,12,5,5,5,2,0,18,18,18,8,8,8,8,8,8,3,1,1,0,17,17,17,17,17,8,8
Van,0,0,1,1,0,2,2,0,4,4,4,4,4,1,0,15,15,15,15,15,15,15,15,15,15,7,7,7,7,7,7,7,7,7,7,3,1,1,0,20,20,41,41,41,41,41,41,41,41,41,41,41,41,41,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,9,9,9,9
Yalova,0,1,0,0,1,1,0,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,20,42,42,42,20,20,20,20,20,20,20,20,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4
Yozgat,0,1,0,0,4,4,4,4,1,1,1,0,12,12,12,12,12,12,12,5,5,5,5,2,2,2,2,2,0,5,2,2,2,0,21,21,21,21,21,21,10,10,10,4,4,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,7,7,3,1,0,13,13,13,13,13,13,13,13,13
Zonguldak,0,1,0,3,3,3,3,3,3,3,3,1,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,2,2,2,2,0,8,8,8,8,3,3,3,3,3,1,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Çanakkale,0,1,0,0,1,1,0,7,7,7,7,3,3,3,1,1,0,7,7,7,7,7,7,7,3,1,0,3,3,3,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,6,6,6,6,2,2,2,2,2,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Çankırı,0,1,0,3,3,3,3,3,3,3,3,1,1,0,7,7,7,3,3,3,3,3,3,3,1,0,4,4,4,4,4,4,4,4,1,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,17,17,17,17,17,17,17,17,17,17,17,17,8,8,8,8,8,8,8,8,8,3,3
Çorum,0,1,0,0,4,4,4,4,1,1,1,0,6,6,6,6,6,6,6,6,2,2,2,0,16,16,16,16,16,16,16,16,16,16,16,7,7,7,7,7,7,3,1,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12,12,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,2,0,12,12,5
İstanbul,0,1,0,0,1,1,0,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,32,32,32,32,32,32,32,32,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,7,7,3,3,3,3,3,3,1,1
İzmir,0,0,2,2,2,0,6,6,6,6,6,6,2,2,2,0,9,9,4,4,4,4,1,1,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,12,12,12,12,12,12,12,12,12,12,5,5,5,2,0,14,30,30,30,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6
