,0,1,2,3,4,5,6,7,8,9,10,11
Kastamonu,-0.14935772209871306,-0.052058246268819254,0.012206800188017095,0.3798433641335566,0.41815783698086195,0.07033605081689863,0.2533666258605861,0.4010819619662563,0.5247606729378356,0.13235966461523138,-0.14870188501523213,0.3326899507405523
Kayseri,-0.42676300602804884,0.28552062663682565,-0.08003540549058734,-0.6303942288549366,0.014905720762331907,-0.3488357697327266,-0.1211978333158007,0.12264718625025176,0.1716684727229275,0.15279946972949957,0.2880154059527986,-0.21245780792984603
Artvin,-0.211539090188952,-0.44075906342093263,0.21698945707449568,0.22182153405861096,0.1529193947451684,-0.03827443787377964,-0.24472107703096374,-0.21244513208125518,-0.4564446337640391,0.09147841526604607,-0.48694930149815174,-0.28459304968256294
Kırklareli,-0.05744800079707831,-0.42895787552822373,0.11900407289597291,-0.04870200591437299,0.079696700556518,0.3454491940987072,0.050794318139969534,-0.3853742425366151,0.5528158705032267,0.046093853530745646,0.32065458030097355,0.32989626286190643
Gümüşhane,-0.47308150517797887,-0.31956668423693324,-0.16946371327693593,0.0509854073647687,0.02068270645729089,-0.1376620372631746,-0.14570541470172393,-0.2864543363863774,0.14811205237109523,0.25078725973698984,-0.631236767224776,-0.1918267717093535
Sivas,-0.5312391161012923,-0.0006852774599388671,-0.16781741796921298,-0.5277473041548129,-0.10186193157889854,-0.15895756521742788,-0.3486638789742787,0.11741384731106007,0.4551034407452378,0.05616688299368773,-0.09446895607401054,-0.14460467568681437
Antalya,0.2437128413888539,0.002634519689897045,-0.5324621756351718,-0.1877262278553932,0.0008614818955042094,-0.3174663564840305,-0.3578586457465934,0.08193554348589273,-0.49783705315610427,-0.3142617128708939,0.07055545375702427,0.1862737344405853
Erzurum,-0.04640836907151532,-0.1908769624465585,0.034398763469221105,0.30018156459458323,-0.19151393451852333,-0.305663734601195,-0.3481600378655176,-0.34913843708270836,0.018975748735073492,0.4470638254071208,-0.07454834379072464,-0.5395511442549261
İstanbul,-0.39445448558061585,-0.36968842357195586,-0.01774332458934481,0.37679055780381987,-0.3640460231447634,0.41897093207654845,-0.18590970428109319,0.019779891634674033,0.342832104233626,0.12262699860298756,0.1502099733974723,0.259414915772672
Bursa,0.209849766329176,-0.4209124172029979,0.31165383273192254,-0.026797103844212283,-0.19202929521876688,0.3569870714387096,-0.12301468765286962,0.10860674305120649,-0.18032553791546901,0.0719018282906651,-0.18197364565098317,-0.6472286912106923
Eskişehir,0.6724361927996598,-0.3155588027386027,0.43423670004948645,-0.24653653943948953,0.15758718256913445,-0.11175212407940217,0.010276253595901308,0.06925341384126361,0.12924339675749152,-0.25204419195357974,-0.126418245218491,-0.2459163162308856
Konya,0.16666230584186872,-0.294705616245746,-0.063776496994296,-0.19323901896655474,-0.24881290366069753,-0.7644548858893508,-0.008509969926210538,0.2718349510498333,-0.10592381607106241,-0.18212423979712108,0.17265496606325192,0.22248346212033415
Yozgat,-0.5864803135172189,-0.011691922939740971,0.029665981714614265,-0.4228854013427383,0.15333400912212752,-0.2273929748882874,0.1644017003466991,0.26840048618752455,0.06624815644360851,-0.14782676639071324,0.24618999846371536,-0.4637405500632274
Sinop,-0.44713653945269805,-0.12722184935778716,0.03408220928410543,0.3993416674655131,0.6617433462115366,0.2532346411006926,-0.013800320964267759,0.16260116253014767,0.13370610103761849,-0.03166984036245447,-0.09885011748628936,0.25677787906009125
Isparta,0.5007282253142398,-0.009765064655826494,-0.5450755472012185,0.09833051338060357,0.02773600685883289,-0.22990661992887584,-0.18966783110537444,0.05672951611528746,-0.402830405639288,-0.32550996626172995,0.25241103795403674,0.1328185823775199
Aksaray,-0.2510709180410216,-0.1812448541400052,-0.05312426057700756,-0.6208495339923995,-0.20330719199856545,-0.5063804290399774,-0.06791942602779527,0.18106082422174155,0.09553550165825289,-0.11171723642773375,0.32068731278241,0.23714598191150577
Ardahan,-0.07275245882423441,-0.5494274400640491,0.3424308355279798,0.41285796108407036,-0.09983892936378347,-0.25543025218198034,-0.31545805042080066,-0.21692323483998274,-0.14094049554523982,0.20073366428246472,0.2945474344037816,-0.19086036618209512
Adıyaman,-0.19027839751382403,0.6597321165258625,0.18555962440856136,-0.15699409116356336,-0.12381444144231979,0.11751733056637767,-0.3448500332112459,-0.283272802072249,-0.23182545966849175,0.00970088649172502,0.030134046703456038,0.431761010954228
Kahramanmaraş,-0.102340301596417,0.4758198501315862,0.19187063074146626,-0.5494892996591079,-0.006920251805842896,-0.11046060210788188,-0.36959158560765015,-0.17887564723974364,-0.2689984469789577,0.189941543896957,0.09081146855768532,0.3561468156277179
