,0,1,2,3,4,5,6
Erzincan,-0.12229634492182287,0.857808484649417,-0.17163296089572277,-0.3840685806203488,0.07074819038144717,0.06220175123557391,-0.25172861477720326
Siirt,0.09814983570164874,-0.09353672935300447,-0.6094063022167501,0.08946928336613848,0.31163857047411536,0.1254133887064055,0.6995638494749169
Karabük,0.692337421030426,-0.26941319319175083,0.38555980333542816,-0.03449610117304305,-0.490901698942771,-0.239167650812224,0.007310308545559813
Kilis,0.07350659045068914,-0.15956160717813037,-0.30934920733255517,0.07729675969732078,0.6390688807595795,-0.5494008452324523,-0.39650325401013653
Malatya,0.2634745977121695,0.23952149753148225,-0.12233382954245935,-0.12639546697820964,0.8579652852812133,-0.1964963629187364,-0.2599114412055715
Uşak,-0.6844629647066984,-0.06681077497838256,0.5150321900839903,0.4809259401310423,0.058114080271091655,-0.09888009160682334,0.1316978919198704
Karaman,-0.5810839221301196,-0.5871992441064502,-0.3205578785271344,-0.3359107489827617,-0.25441090048602283,-0.166069131091241,0.09818999850904056
Bitlis,0.15150030755930338,0.20221736210650632,-0.26623620041886126,-0.0094159205616221,0.3577974016586963,0.13803759697653517,0.8474149293503492
Gaziantep,0.07847641795364035,-0.16762151917666634,-0.3512459883332342,0.025217920120940186,0.6954983688400695,-0.5551596210744302,-0.223191855559187
Rize,-0.08104874651437566,0.11575183838247387,-0.508782414416647,0.3540422112730076,-0.3701212357007452,0.421480374950168,-0.5302751591693047
Hakkari,0.16970536993207436,0.0449059478739196,-0.3632432259739584,-0.017149498028534518,0.41244420132577986,0.20699954382749966,0.7899270639819289
Batman,0.031918746558128916,-0.0019877292740236325,-0.5272800673247532,0.20371837924244085,0.3468541111070778,0.3000028064839593,0.6849396592556125
Mardin,0.060625235342126514,-0.08669211682773152,-0.4157218465377569,0.1101581999205028,0.6708845816058842,-0.10538980757225862,0.585368637394019
Muğla,-0.540940578121661,-0.09255516207645946,0.5387696400159645,0.6016412330936238,0.13948865630233334,-0.12104528760014253,0.11163730409600461
Zonguldak,0.6165221843199802,-0.2648911813938472,0.2862172451069011,0.21692651245068842,-0.550394253996915,-0.3414146608064805,-0.03546589367357708
İzmir,-0.5880127971133579,0.27712619237696196,0.5636075651187659,0.45735217800355377,0.11948339767417603,-0.08356748934023,0.17134092958624703
Kırıkkale,-0.29201785810472514,-0.4518365574860538,0.09239483340155484,-0.6808576151722451,-0.12909897195577444,0.4656628802699964,-0.07040551021302759
Sakarya,0.6631441033797865,-0.04579842580358857,0.18898123216355883,0.12847974643550322,-0.6750802949235089,-0.21757340478347606,0.053384079361342957
Nevşehir,-0.34987225821181056,-0.3693978498095506,0.04467069483106583,-0.815166366961821,0.006306712923261381,0.08301972340444146,-0.2602131925659783
Tunceli,0.22990304798358321,0.2683657274015374,-0.1727617890159305,0.002060599782234474,0.6584215418176319,0.23170544530597686,0.5983871681066578
Trabzon,-0.023430183613065057,0.2686213414548587,-0.5008154082217293,0.3362152310521959,-0.5424832691720712,0.126549177089481,-0.5031242939407996
Bolu,0.6636027615819708,-0.3309917430945804,0.3908372675189634,-0.17665728131445999,-0.4971600432394504,-0.06263198813535678,0.12256998641285528
