"","sigma","year","ppp","ppn","pnn","nnn","sb","wsb"
"143",15,2015,402,113,1014,193,0.822299651567944,0.934378629500581
"144",20,2015,486,226,2025,554,0.762989972652689,0.931327863871164
"145",25,2015,614,406,3352,1227,0.708340775138418,0.927487051259153
"146",30,2015,686,575,4899,2256,0.663616920152091,0.931677756653992
"147",35,2015,725,777,6470,3567,0.623537568246815,0.932663142386689
"148",40,2015,789,973,8244,5323,0.589275229956292,0.936525539826473
"149",45,2015,857,1204,10169,7223,0.566802035675731,0.93810723281756
"150",50,2015,931,1546,12085,9220,0.547304684214952,0.934992851736608
"151",55,2015,1009,1786,14236,11689,0.530814763231198,0.937813370473538
"152",60,2015,1106,2083,16683,14728,0.514132947976879,0.939797687861272
"153",65,2015,1145,2369,18874,18264,0.492448096034635,0.941724884384532
"154",70,2015,1196,2736,21273,22146,0.474520073493696,0.942218749340035
"155",75,2015,1263,3199,23591,25855,0.461044742895303,0.940658158343845
"156",80,2015,1368,3528,26221,29718,0.453505383414153,0.942007068299499
"157",85,2015,1443,3880,28196,33559,0.441858731625868,0.942156891976505
"158",90,2015,1514,4196,29805,36306,0.436070230155526,0.941576976093343
"159",95,2015,1523,4216,30061,37446,0.431204434371843,0.942440542828277
"160",100,2015,1369,3636,27399,34896,0.427459138187221,0.945973254086181
"161",5,2016,71,0,30,0,1,1
"162",10,2016,269,38,275,25,0.896210873146623,0.937397034596376
"163",15,2016,422,128,1075,193,0.823432343234323,0.92959295929593
"164",20,2016,497,243,2172,612,0.757377979568672,0.931044267877412
"165",25,2016,579,386,3509,1307,0.707144092717523,0.933229545061408
"166",30,2016,622,514,4957,2238,0.669667506901933,0.938302724762934
"167",35,2016,677,706,6465,3618,0.62288505145648,0.938426652712367
"168",40,2016,730,914,8182,5436,0.583933953610274,0.940112698204691
"169",45,2016,810,1133,10132,7588,0.556476631236332,0.942379087626507
"170",50,2016,884,1356,12321,10169,0.533966841892438,0.945167812373635
"171",55,2016,915,1489,14083,12568,0.51619342626054,0.948752366202031
"172",60,2016,990,1783,16518,15720,0.500071406129502,0.949073148439062
"173",65,2016,1089,2148,19047,19093,0.486647171133722,0.948087101529835
"174",70,2016,1158,2491,21226,22802,0.469492627472366,0.947752585103929
"175",75,2016,1229,2876,23348,26612,0.454582447054471,0.946804772033663
"176",80,2016,1295,3248,25514,30078,0.445813586097946,0.945988193231895
"177",85,2016,1439,3772,28131,33759,0.440678976468309,0.943786232693999
"178",90,2016,1513,4056,29778,36591,0.434971781256082,0.943618115599544
"179",95,2016,1552,4088,30473,37566,0.434655736369929,0.944516076493981
"180",100,2016,1376,3440,27781,34347,0.435543140535373,0.948613766730402
"181",5,2017,67,0,27,0,1,1
"182",10,2017,254,38,285,24,0.896838602329451,0.936772046589018
"183",15,2017,419,117,983,156,0.837014925373134,0.930149253731343
"184",20,2017,493,266,2091,603,0.748334781349551,0.922965537214017
"185",25,2017,601,405,3537,1300,0.708197843573507,0.930686291288722
"186",30,2017,655,565,4907,2192,0.668589974756581,0.932083183074889
"187",35,2017,702,733,6286,3425,0.626951372689754,0.93423649739817
"188",40,2017,760,956,8024,5063,0.593393231101804,0.93541849625076
"189",45,2017,837,1235,10035,7079,0.566663191910768,0.935630146982175
"190",50,2017,935,1475,12127,9221,0.54979375368297,0.937915649465443
"191",55,2017,999,1727,14234,11808,0.529511957730812,0.939968020022247
"192",60,2017,1042,1969,16473,14928,0.508979425781704,0.942781587818203
"193",65,2017,1114,2320,18741,18318,0.490331662262613,0.942706146741412
"194",70,2017,1190,2641,21158,22066,0.474933588354054,0.943874189777919
"195",75,2017,1256,3049,23638,25932,0.462069605568445,0.943406032482599
"196",80,2017,1298,3347,25829,30089,0.447913742714198,0.94473523438403
"197",85,2017,1478,4042,28844,34087,0.442973806080262,0.940950460913646
"198",90,2017,1563,4414,30180,36085,0.439398134049445,0.938899808975388
"199",95,2017,1530,4367,29987,37120,0.431716070352309,0.940181359925484
"200",100,2017,1373,3597,27424,34071,0.433265628526292,0.945881290904988
